Restaurant_Name,Rating,Price_For_One,Cuisine,Location,Delivery_Review_Number,Link
Pizza Hut,4.1,200,Fast Food,St. Marks Road,539,https://www.zomato.com//bangalore/nandhini-deluxe-st-marks-road-bangalore 
KFC,4.4,200,Fast Food,Frazer Town,574,https://www.zomato.com//bangalore/thoms-bakery-since-1970-frazer-town-bangalore 
McDonald's,4.1,200,Fast Food,Shivajinagar,5248,https://www.zomato.com//bangalore/empire-restaurant-shivajinagar-bangalore 
Burger King,4.2,200,Fast Food,St. Marks Road,1967,https://www.zomato.com//bangalore/truffles-2-st-marks-road 
Meghana Foods,3.7,200,Biryani,City Market,17,https://www.zomato.com//bangalore/the-taj-hotel-1-city-market-bangalore 
Five Star Chicken,3.9,200,Fast Food,Koramangala,905,https://www.zomato.com//bangalore/hyderabad-biryaani-house-koramangala-5th-block 
Kanti Sweets,3.8,200,Sweets,Church Street,2962,https://www.zomato.com//bangalore/brik-oven-church-street 
Polar Bear,4.0,200,Desserts,Lavelle Road,86,https://www.zomato.com//bangalore/starbucks-coffee-lavelle-road-bangalore 
La Pino'z Pizza,3.9,200,Fast Food,Shanti Nagar,318,https://www.zomato.com//bangalore/dominos-pizza-shanti-nagar 
Onesta,3.9,200,Fast Food,Shanti Nagar,271,https://www.zomato.com//bangalore/pizza-hut-shanti-nagar 
EasyBites by Empire,3.7,200,Fast Food,Brigade Road,159,https://www.zomato.com//bangalore/kfc-brigade-road-bangalore 
Leon's Burgers & Wings,3.9,200,Fast Food,MG Road,213,https://www.zomato.com//bangalore/mcdonalds-mg-road 
Hari Super Sandwich,4.0,100,Bengali,Commercial Street,746,https://www.zomato.com//bangalore/burger-king-commercial-street 
Corner House Ice Creams,4.4,100,Desserts,Residency Road,2314,https://www.zomato.com//bangalore/meghana-foods-residency-road 
CakeZone,3.9,100,Desserts,City Market,918,https://www.zomato.com//bangalore/five-star-chicken-1-city-market-bangalore 
A2B - Adyar Ananda Bhavan,4.5,100,South Indian,Brigade Road,109,https://www.zomato.com//bangalore/kanti-sweets-brigade-road 
FreshMenu,4.3,100,Italian,Basavanagudi,300,https://www.zomato.com//bangalore/polar-bear-1-basavanagudi 
Al-Bek,3.9,100,Arabian,Basavanagudi,26,https://www.zomato.com//bangalore/la-pinoz-pizza-basavanagudi-bangalore 
Nandhana Palace,3.6,100,Biryani,Mantri Square,712,https://www.zomato.com//bangalore/onesta-malleshwaram-bangalore 
Amma's Pastries,3.7,100,Desserts,Brigade Road,699,https://www.zomato.com//bangalore/easybites-by-empire-brigade-road-bangalore 
NIC Ice Creams,4.0,100,Desserts,Frazer Town,24,https://www.zomato.com//bangalore/leons-burgers-wings-frazer-town-bangalore 
Taco Bell,3.7,100,Mexican,Brigade Road,15,https://www.zomato.com//bangalore/hari-super-sandwich-brigade-road-bangalore 
Goli Vada Pav No. 1,4.5,100,Italian,Residency Road,727,https://www.zomato.com//bangalore/corner-house-ice-creams-residency-road-bangalore 
Kabab Magic,4.3,100,North Indian,Koramangala,910,https://www.zomato.com//bangalore/cakezone-koramangala-6th-block-bangalore 
Subway,4.2,300,Bengali,Shanti Nagar,60,https://www.zomato.com//bangalore/a2b-adyar-ananda-bhavan-1-shanti-nagar-bangalore 
Wendy's Burgers,3.9,300,Italian,Richmond Road,925,https://www.zomato.com//bangalore/freshmenu-richmond-road 
WOW! Momo,4.1,300,Italian,Malleshwaram,1319,https://www.zomato.com//bangalore/al-bek-malleshwaram 
Samosa Party,4.0,300,Street Food,Indiranagar,1834,https://www.zomato.com//bangalore/nandhana-palace-indiranagar 
Natural Ice Cream,4.2,300,Desserts,Ulsoor,152,https://www.zomato.com//bangalore/ammas-pastries-ulsoor 
Mani's Dum Biryani,4.4,300,Biryani,Frazer Town,663,https://www.zomato.com//bangalore/nic-ice-creams-frazer-town-bangalore 
Lassi Shop,4.0,300,Beverages,Garuda Mall,111,https://www.zomato.com//bangalore/taco-bell-brigade-road-bangalore 
Anand Sweets And Savouries,4.1,300,North Indian,Jayanagar,532,https://www.zomato.com//bangalore/goli-vada-pav-no-1-jayanagar-bangalore 
Bakingo,3.6,300,Desserts,Richmond Town,139,https://www.zomato.com//bangalore/kabab-magic-richmond-town-bangalore 
Kwalitywall's Frozen Dessert And Ice Cream Shop,4.1,300,Desserts,UB City,137,https://www.zomato.com//bangalore/subway-lavelle-road 
Imperial Restaurant,4.0,300,North Indian,Shanti Nagar,844,https://www.zomato.com//bangalore/wendys-burgers-shanti-nagar-bangalore 
Ovenstory Pizza,4.2,300,Italian,Church Street,30,https://www.zomato.com//bangalore/wow-momo-church-street-bangalore 
EatFit,4.4,200,Bengali,Brigade Road,18,https://www.zomato.com//bangalore/samosa-party-brigade-road-bangalore 
Sharief Bhai,4.5,200,North Indian,St. Marks Road,249,https://www.zomato.com//bangalore/natural-ice-cream-st-marks-road 
Faasos - Wraps & Rolls,4.3,200,Italian,Ulsoor,276,https://www.zomato.com//bangalore/manis-dum-biryani-ulsoor 
MOJO Pizza - 2X Toppings,3.3,200,Italian,Residency Road,802,https://www.zomato.com//bangalore/lassi-shop-1-residency-road-bangalore 
Asha Sweet Center,4.6,200,Sweets,Commercial Street,863,https://www.zomato.com//bangalore/anand-sweets-and-savouries-commercial-street-bangalore 
The Belgian Waffle Co.,4.4,200,Mexican,Vasanth Nagar,502,https://www.zomato.com//bangalore/bakingo-vasanth-nagar-bangalore 
Kannur Food Point,4.3,200,Kerala,Wilson Garden,522,https://www.zomato.com//bangalore/kwalitywalls-frozen-dessert-and-ice-cream-shop-wilson-garden-bangalore 
WarmOven Cake & Desserts,3.9,200,Mexican,Residency Road,453,https://www.zomato.com//bangalore/imperial-restaurant-residency-road 
Ambur Star Briyani Since 1890,4.4,200,Biryani,Shanti Nagar,601,https://www.zomato.com//bangalore/ovenstory-pizza-1-shanti-nagar-bangalore 
Andhra Gunpowder,4.0,200,Andhra,Cunningham Road,835,https://www.zomato.com//bangalore/eatfit-cunningham-road-bangalore 
Rolls On Wheels,4.0,200,Italian,Frazer Town,772,https://www.zomato.com//bangalore/sharief-bhai-frazer-town-bangalore 
Chicking,4.1,200,Fast Food,Shanti Nagar,655,https://www.zomato.com//bangalore/faasos-wraps-rolls-shanti-nagar-bangalore 
Paradise Biryani,4.4,350,Biryani,Shanti Nagar,678,https://www.zomato.com//bangalore/mojo-pizza-2x-toppings-shanti-nagar-bangalore 
Meat And Eat,4.1,350,Fast Food,Vasanth Nagar,877,https://www.zomato.com//bangalore/asha-sweet-center-1-vasanth-nagar-bangalore 
California Burrito,4.4,350,Mexican,Seshadripuram,34,https://www.zomato.com//bangalore/the-belgian-waffle-co-seshadripuram-bangalore 
Sri Udupi Food Hub,3.8,350,South Indian,BTM,574,https://www.zomato.com//bangalore/kannur-food-point-btm 
Chai Point,3.4,350,Mexican,Vasanth Nagar,704,https://www.zomato.com//bangalore/warmoven-cake-desserts-vasanth-nagar-bangalore 
Paakashala,4.3,350,South Indian,Indiranagar,106,https://www.zomato.com//bangalore/ambur-star-briyani-since-1890-indiranagar-bangalore 
Beijing Bites,4.4,350,Chinese,Seshadripuram,853,https://www.zomato.com//bangalore/andhra-gunpowder-seshadripuram-bangalore 
Hari Super Sandwich,4.0,350,Mexican,St. Marks Road,991,https://www.zomato.com//bangalore/rolls-on-wheels-st-marks-road-bangalore 
Baskin Robbins - Ice Cream Desserts,4.1,350,Desserts,Rajajinagar,976,https://www.zomato.com//bangalore/chicking-1-rajajinagar-bangalore 
Chinese Wok,4.1,350,Chinese,Rajajinagar,583,https://www.zomato.com//bangalore/paradise-biryani-rajajinagar-bangalore 
Theobroma,3.8,350,Desserts,Domlur,76,https://www.zomato.com//bangalore/meat-and-eat-domlur 
Behrouz Biryani,4.4,350,Biryani,Mantri Square,203,https://www.zomato.com//bangalore/california-burrito-malleshwaram 
Glen's Bakehouse,4.1,200,Desserts,Majestic,73,https://www.zomato.com//bangalore/sri-udupi-food-hub-majestic-bangalore 
Royal Restaurant,4.0,200,North Indian,MG Road,932,https://www.zomato.com//bangalore/chai-point-mg-road 
Sri Udupi Park,4.1,200,South Indian,MG Road,290,https://www.zomato.com//bangalore/paakashala-mg-road-bangalore 
RNR Biryani - Taste Of 1953,3.8,200,Biryani,Richmond Road,379,https://www.zomato.com//bangalore/beijing-bites-richmond-road 
Pathaan Sir,3.9,200,Fast Food,Seshadripuram,590,https://www.zomato.com//bangalore/hari-super-sandwich-seshadripuram-bangalore 
"Frozen Bottle - Milkshakes, Desserts And Ice Cream",4.2,200,Desserts,Garuda Mall,704,https://www.zomato.com//bangalore/baskin-robbins-ice-cream-desserts-1-brigade-road-bangalore 
Krispy Kreme,4.0,200,Desserts,Malleshwaram,579,https://www.zomato.com//bangalore/chinese-wok-malleshwaram-bangalore 
Vijayalakshmi Veg,4.4,200,South Indian,Lavelle Road,32,https://www.zomato.com//bangalore/theobroma-lavelle-road-bangalore 
Cakewala,4.1,200,Desserts,Shanti Nagar,860,https://www.zomato.com//bangalore/behrouz-biryani-shanti-nagar-bangalore 
Smoor,4.4,200,Asian,Lavelle Road,1508,https://www.zomato.com//bangalore/glens-bakehouse-lavelle-road 
The Pizza Bakery,3.9,200,Fast Food,Shivajinagar,238,https://www.zomato.com//bangalore/royal-restaurant-shivajinagar 
Dindigul Thalappakatti,4.1,200,Biryani,Residency Road,153,https://www.zomato.com//bangalore/sri-udupi-park-residency-road 
Sandwich Guru,4.3,100,Mexican,Jayanagar,2757,https://www.zomato.com//bangalore/rnr-biryani-taste-of-1953-1-jayanagar-bangalore 
Call Me Chow,3.4,100,Chinese,Wilson Garden,880,https://www.zomato.com//bangalore/pathaan-sir-wilson-garden-bangalore 
Chetty's Corner,3.8,100,Fast Food,Brigade Road,94,https://www.zomato.com//bangalore/frozen-bottle-milkshakes-desserts-and-ice-cream-brigade-road-bangalore 
Savi Sagar,4.5,100,North Indian,Richmond Road,60,https://www.zomato.com//bangalore/krispy-kreme-richmond-road 
BOX8 - Desi Meals,4.0,100,North Indian,Frazer Town,100,https://www.zomato.com//bangalore/vijayalakshmi-veg-frazer-town-bangalore 
Donne Biryani House,4.2,100,Biryani,Jayanagar,302,https://www.zomato.com//bangalore/cakewala-1-jayanagar 
Falahaar & Kota Kachori,4.3,100,North Indian,Lavelle Road,604,https://www.zomato.com//bangalore/smoor-lavelle-road-bangalore 
Sagar Hotel,4.2,100,North Indian,Church Street,217,https://www.zomato.com//bangalore/the-pizza-bakery-church-street-bangalore 
Narmada Chain of Restaurants,3.7,100,Biryani,MG Road,387,https://www.zomato.com//bangalore/dindigul-thalappakatti-mg-road-bangalore 
Sangam Sweets,4.0,100,Sweets,Basavanagudi,22,https://www.zomato.com//bangalore/sandwich-guru-basavanagudi-bangalore 
Mad Over Donuts,4.2,100,Desserts,Koramangala,725,https://www.zomato.com//bangalore/call-me-chow-koramangala-8th-block-bangalore 
Biryani By Kilo,4.1,100,Biryani,Seshadripuram,17,https://www.zomato.com//chettyscorner 
Shree Mahalakshmi Sweets,3.8,100,Sweets,Malleshwaram,221,https://www.zomato.com//bangalore/savi-sagar-malleshwaram-bangalore 
India Sweet House,4.2,100,Sweets,Shanti Nagar,760,https://www.zomato.com//bangalore/box8-desi-meals-shanti-nagar-bangalore 
Madeena Hotel,4.0,100,Biryani,Malleshwaram,111,https://www.zomato.com//bangalore/donne-biryani-house-malleshwaram 
Just Bake,3.9,100,Desserts,Koramangala,3670,https://www.zomato.com//bangalore/falahaar-kota-kachori-koramangala-7th-block-bangalore 
Karnataka Biryani Point,4.2,100,Biryani,Rajajinagar,1133,https://www.zomato.com//bangalore/sagar-hotel-rajajinagar 
Third Wave Coffee,4.3,100,Beverages,Frazer Town,26,https://www.zomato.com//bangalore/narmada-chain-of-restaurants-frazer-town-bangalore 
Namaste,4.2,100,South Indian,Majestic,128,https://www.zomato.com//bangalore/sangam-sweets-majestic 
Chaayos Chai+Snacks=Relax,3.7,100,Mexican,Mantri Square,190,https://www.zomato.com//bangalore/mad-over-donuts-1-malleshwaram 
Roti Ghar,3.6,100,North Indian,Majestic,863,https://www.zomato.com//bangalore/biryani-by-kilo-majestic-bangalore 
New Agarwal Bhavan,4.0,100,Sweets,Basavanagudi,626,https://www.zomato.com//bangalore/shree-mahalakshmi-sweets-2-basavanagudi-bangalore 
Kapoor's Cafe,4.0,100,North Indian,Malleshwaram,612,https://www.zomato.com//bangalore/india-sweet-house-2-malleshwaram-bangalore 
Chaat Street,4.0,100,Street Food,Koramangala,286,https://www.zomato.com//bangalore/madeena-hotel-koramangala-5th-block-bangalore 
Aromas Of Biryani,4.0,250,North Indian,Seshadripuram,17,https://www.zomato.com//bangalore/just-bake-seshadripuram 
Savoury Restaurant,4.0,250,Arabian,Rajajinagar,37,https://www.zomato.com//bangalore/karnataka-biryani-point-rajajinagar-bangalore 
Chaatimes,4.4,250,Street Food,UB City,355,https://www.zomato.com//bangalore/third-wave-coffee-lavelle-road-bangalore 
LunchBox - Meals and Thalis,4.2,250,North Indian,Malleshwaram,58,https://www.zomato.com//bangalore/namaste-malleshwaram-bangalore 
New Taj Darbar,4.3,250,North Indian,Cunningham Road,77,https://www.zomato.com//bangalore/chaayos-chai-snacks-relax-cunningham-road-bangalore 
Zomoz - The Momo Company,4.2,250,Fast Food,Basavanagudi,925,https://www.zomato.com//bangalore/roti-ghar-basavanagudi 
M.M.A Kabab and Rolls,4.4,250,North Indian,Sadashiv Nagar,89,https://www.zomato.com//bangalore/new-agarwal-bhavan-sadashiv-nagar-bangalore 
Big Bowl,4.2,250,North Indian,Jayanagar,560,https://www.zomato.com//bangalore/kapoors-cafe-jayanagar-bangalore 
WOW! China,4.0,250,Chinese,Koramangala,826,https://www.zomato.com//bangalore/chaat-street-koramangala-4th-block-bangalore 
Biryani Trip - Destination Hyderabad,4.1,250,Biryani,Jayanagar,384,https://www.zomato.com//bangalore/aromas-of-biryani-1-jayanagar-bangalore 
Aubree,4.1,250,Desserts,Frazer Town,1588,https://www.zomato.com//bangalore/savoury-restaurant-1-frazer-town 
ibaco,4.0,250,Desserts,Brigade Road,584,https://www.zomato.com//bangalore/chaatimes-brigade-road-bangalore 
New Udupi Grand,3.9,100,South Indian,Shanti Nagar,757,https://www.zomato.com//bangalore/lunchbox-meals-and-thalis-shanti-nagar-bangalore 
Chef Bakers,3.3,100,Desserts,Shivajinagar,70,https://www.zomato.com//bangalore/new-taj-darbar-shivajinagar-bangalore 
Kaati Zone Rolls and Wraps,4.1,100,Fast Food,Indiranagar,552,https://www.zomato.com//bangalore/zomoz-the-momo-company-indiranagar-bangalore 
Just Shawarma,3.4,100,Fast Food,Old Madras Road,118,https://www.zomato.com//bangalore/m-m-a-kabab-and-rolls-old-madras-road-bangalore 
Donne Biryani Mane,3.7,100,Biryani,Hosur Road,528,https://www.zomato.com//bangalore/big-bowl-hosur-road-bangalore 
Chowman,3.7,100,Chinese,Church Street,43,https://www.zomato.com//bangalore/wow-china-church-street-bangalore 
Biggies Burger,4.3,100,Fast Food,Seshadripuram,910,https://www.zomato.com//bangalore/biryani-trip-destination-hyderabad-seshadripuram-bangalore 
Natraj Chole Bhature,4.0,100,North Indian,Shivajinagar,921,https://www.zomato.com//bangalore/aubree-shivajinagar-bangalore 
Keventers - Milkshakes & Desserts,4.2,100,Beverages,Brigade Road,107,https://www.zomato.com//bangalore/ibaco-brigade-road-bangalore 
Kaapi Katte,4.0,100,South Indian,Koramangala,13,https://www.zomato.com//bangalore/new-udupi-grand-1-koramangala-8th-block-bangalore 
7 Plates,3.4,100,North Indian,Koramangala,25,https://www.zomato.com//bangalore/chef-bakers-koramangala-7th-block-bangalore 
The Cake Deluxe,3.1,100,Desserts,Vasanth Nagar,749,https://www.zomato.com//bangalore/kaati-zone-rolls-and-wraps-vasanth-nagar-bangalore 
Puliyogare Point,3.9,50,South Indian,Indiranagar,828,https://www.zomato.com//bangalore/just-shawarma-indiranagar-bangalore 
Sreeraj Lassi Bar,3.7,50,Desserts,Koramangala,40,https://www.zomato.com//bangalore/donne-biryani-mane-koramangala-4th-block-bangalore 
New Shanthi Sagar,4.0,50,North Indian,Indiranagar,1441,https://www.zomato.com//bangalore/chowman-indiranagar-bangalore 
Madurai Idly Shop,4.1,50,South Indian,Church Street,478,https://www.zomato.com//bangalore/biggies-burger-church-street-bangalore 
Barbeque Nation,4.2,50,North Indian,Indiranagar,48,https://www.zomato.com//bangalore/natraj-chole-bhature-indiranagar-bangalore 
Ambur Hot Dum Biryani,4.3,50,Biryani,Garuda Mall,22,https://www.zomato.com//bangalore/keventers-milkshakes-desserts-brigade-road-bangalore 
Just Cakes,3.9,50,Desserts,Seshadripuram,33,https://www.zomato.com//bangalore/kaapi-katte-2-seshadripuram-bangalore 
Karnataka Bhel House,4.3,50,Street Food,Frazer Town,829,https://www.zomato.com//bangalore/7-plates-frazer-town 
Thalairaj Biryani,4.1,50,Biryani,Basavanagudi,963,https://www.zomato.com//bangalore/the-cake-deluxe-basavanagudi-bangalore 
Delicacy,4.4,50,Chinese,Basavanagudi,760,https://www.zomato.com//bangalore/puliyogare-point-basavanagudi 
Juice Junction,3.9,50,Desserts,Shanti Nagar,78,https://www.zomato.com//bangalore/sreeraj-lassi-bar-shanti-nagar 
99 Variety Dosa & Pav Bhaji,3.9,50,South Indian,Rajajinagar,53,https://www.zomato.com//bangalore/new-shanthi-sagar-rajajinagar-bangalore 
New Krishna Sagar,3.9,100,South Indian,Koramangala,579,https://www.zomato.com//bangalore/madurai-idly-shop-1-koramangala-7th-block-bangalore 
Great Indian Khichdi by EatFit,3.8,100,Mexican,Lido Mall,1689,https://www.zomato.com//bangalore/barbeque-nation-ulsoor-bangalore 
Kolkata Famous Kati Rolls,4.1,100,Fast Food,BTM,27,https://www.zomato.com//bangalore/ambur-hot-dum-biryani-btm 
Sri Srinivas Pork Hotel,4.0,100,Fast Food,Koramangala,918,https://www.zomato.com//bangalore/just-cakes-koramangala-7th-block-bangalore 
Bombay Kulfis,4.3,100,Desserts,Basavanagudi,508,https://www.zomato.com//bangalore/karnataka-bhel-house-basavanagudi 
IDC Kitchen,4.1,100,South Indian,Indiranagar,940,https://www.zomato.com//bangalore/thalairaj-biryani-indiranagar-bangalore 
CTR Shri Sagar,4.0,100,South Indian,Frazer Town,273,https://www.zomato.com//bangalore/delicacy-frazer-town 
Brahmins' Thatte Idli,4.1,100,South Indian,St. Marks Road,123,https://www.zomato.com//bangalore/juice-junction-st-marks-road 
Chikpet Donne Biriyani House,3.5,100,Biryani,Koramangala,164,https://www.zomato.com//bangalore/99-variety-dosa-pav-bhaji-koramangala-6th-block-bangalore 
Bhartiya Jalpan,3.7,100,North Indian,Indiranagar,83,https://www.zomato.com//bangalore/new-krishna-sagar-indiranagar 
Hakka Box,4.0,100,Chinese,Cunningham Road,846,https://www.zomato.com//bangalore/great-indian-khichdi-by-eatfit-cunningham-road-bangalore 
Prasuma Momo Kitchen,4.0,100,Fast Food,City Market,633,https://www.zomato.com//bangalore/kolkata-famous-kati-rolls-city-market-bangalore 
NOTO - Healthy Ice Cream,3.3,100,Desserts,Ejipura,49,https://www.zomato.com//bangalore/sri-srinivas-pork-hotel-ejipura-bangalore 
Siddique Kabab Centre,4.0,100,Sweets,Shanti Nagar,527,https://www.zomato.com//bangalore/bombay-kulfis-1-shanti-nagar-bangalore 
Cream Stone Ice Cream,4.2,100,Desserts,Residency Road,35,https://www.zomato.com//bangalore/idc-kitchen-residency-road-bangalore 
Cafe Coffee Day,4.3,100,Beverages,Malleshwaram,4915,https://www.zomato.com//bangalore/ctr-shri-sagar-malleshwaram-bangalore 
The Cake Fancy,4.2,100,Desserts,Malleshwaram,59,https://www.zomato.com//bangalore/brahmins-thatte-idli-1-malleshwaram-bangalore 
Nagarjuna,3.7,100,Andhra,Rajajinagar,121,https://www.zomato.com//bangalore/chikpet-donne-biriyani-house-rajajinagar 
Momo Zone - The Momo Company,3.9,100,Fast Food,Commercial Street,138,https://www.zomato.com//bangalore/bhartiya-jalpan-commercial-street-bangalore 
Paris Panini - Gourmet Sandwiches,3.7,100,Mexican,Domlur,969,https://www.zomato.com//bangalore/hakka-box-domlur-bangalore 
Toscano,4.4,100,Italian,Koramangala,950,https://www.zomato.com//bangalore/prasuma-momo-kitchen-koramangala-7th-block-bangalore 
The Dessert Heaven - Pure Veg,4.3,100,Desserts,Brigade Road,620,https://www.zomato.com//bangalore/noto-healthy-ice-cream-brigade-road-bangalore 
Ambur Biryani Point,4.1,100,Biryani,Frazer Town,553,https://www.zomato.com//bangalore/siddique-kabab-centre-frazer-town 
Anjappar,4.0,100,Chinese,Frazer Town,100,https://www.zomato.com//bangalore/cream-stone-ice-cream-frazer-town-bangalore 
Punjabi Nawabi,3.6,150,North Indian,Lavelle Road,877,https://www.zomato.com//bangalore/cafe-coffee-day-1-lavelle-road-bangalore 
The Dessert Zone,4.2,150,Desserts,Basavanagudi,924,https://www.zomato.com//bangalore/the-cake-fancy-basavanagudi-bangalore 
Gopaljee Cafe,4.3,150,Street Food,Residency Road,2318,https://www.zomato.com//bangalore/nagarjuna-residency-road 
Daily Sushi,3.6,150,Chinese,Vasanth Nagar,596,https://www.zomato.com//bangalore/momo-zone-the-momo-company-vasanth-nagar-bangalore 
Sri Venkateshwara Sweetmeat Stall,4.3,150,Sweets,Church Street,95,https://www.zomato.com//bangalore/paris-panini-gourmet-sandwiches-church-street-bangalore 
Paratha Envy,4.2,150,North Indian,UB City,2083,https://www.zomato.com//bangalore/toscano-lavelle-road 
Bombay Bitess,4.1,150,North Indian,Koramangala,696,https://www.zomato.com//bangalore/the-dessert-heaven-pure-veg-koramangala-6th-block-bangalore 
Crusto's - Cheese Burst Pizza,3.8,150,Fast Food,Koramangala,517,https://www.zomato.com//bangalore/ambur-biryani-point-koramangala-8th-block-bangalore 
Jose Mess,3.8,150,Kerala,Brigade Road,42,https://www.zomato.com//bangalore/anjappar-brigade-road-bangalore 
Bucket Biryani,3.7,150,Biryani,Koramangala,533,https://www.zomato.com//bangalore/punjabi-nawabi-koramangala-7th-block-bangalore 
Pasta Street,3.5,150,Fast Food,Vasanth Nagar,967,https://www.zomato.com//bangalore/the-dessert-zone-vasanth-nagar-bangalore 
Magnolia Bakery,4.1,150,Desserts,Koramangala,121,https://www.zomato.com//bangalore/gopaljee-cafe-koramangala-7th-block-bangalore 
Grameen Kulfi,4.2,100,Desserts,Church Street,132,https://www.zomato.com//bangalore/daily-sushi-church-street-bangalore 
La Heaven,4.6,100,Desserts,Majestic,100,https://www.zomato.com//bangalore/sri-venkateshwara-sweetmeat-stall-majestic 
Kunafa World,4.2,100,Desserts,Koramangala,650,https://www.zomato.com//bangalore/paratha-envy-koramangala-6th-block-bangalore 
The Momo Co.,3.5,100,Fast Food,Rajajinagar,22,https://www.zomato.com//bangalore/bombay-bitess-rajajinagar-bangalore 
Bangarpet Chats,3.8,100,Street Food,Koramangala,779,https://www.zomato.com//bangalore/crustos-cheese-burst-pizza-koramangala-6th-block-bangalore 
NH1 Bowls - Highway To North,4.1,100,North Indian,BTM,421,https://www.zomato.com//bangalore/jose-mess-1-btm-bangalore 
Sweet Truth - Cake and Desserts,4.1,100,Desserts,Brigade Road,15,https://www.zomato.com//bangalore/bucket-biryani-brigade-road-bangalore 
Samosa Singh,4.2,100,Street Food,Cunningham Road,4118,https://www.zomato.com//bangalore/pasta-street-cunningham-road 
Auntie Fung's,4.4,100,Asian,Indiranagar,897,https://www.zomato.com//bangalore/magnolia-bakery-indiranagar-bangalore 
RollsKing,4.0,100,Fast Food,Koramangala,915,https://www.zomato.com//bangalore/grameen-kulfi-koramangala-8th-block-bangalore 
Nando's,4.4,100,Fast Food,Malleshwaram,145,https://www.zomato.com//bangalore/la-heaven-malleshwaram-bangalore 
UBQ by Barbeque Nation,4.4,100,North Indian,Frazer Town,104,https://www.zomato.com//bangalore/kunafa-world-frazer-town-bangalore 
Cupcake Bliss Cakes & Desserts,4.0,150,Desserts,Hosur Road,779,https://www.zomato.com//bangalore/the-momo-co-hosur-road-bangalore 
XO Belgian Waffle,4.1,150,Mexican,Rajajinagar,34,https://www.zomato.com//bangalore/bangarpet-chats-rajajinagar-bangalore 
Home Plate by EatFit,4.5,150,Mexican,Langford Town,787,https://www.zomato.com//bangalore/nh1-bowls-highway-to-north-langford-town-bangalore 
FB Cakes,4.0,150,Desserts,Shanti Nagar,733,https://www.zomato.com//bangalore/sweet-truth-cake-and-desserts-shanti-nagar-bangalore 
Umpire Chicken County,4.0,150,Fast Food,Garuda Mall,26,https://www.zomato.com//bangalore/samosa-singh-brigade-road-bangalore 
Vidyarthi Bhavan,4.1,150,South Indian,Indiranagar,884,https://www.zomato.com//bangalore/auntie-fungs-indiranagar-bangalore 
Friendly Neighbourhood Pizza - Man,4.1,150,Fast Food,BTM,890,https://www.zomato.com//bangalore/rollsking-btm-bangalore 
Swiss Cream,4.5,150,Desserts,Forum Rex Walk,639,https://www.zomato.com//bangalore/nandos-brigade-road-bangalore 
Aligarh House - Mughlai Biryani,3.8,150,Biryani,Ulsoor,656,https://www.zomato.com//bangalore/ubq-by-barbeque-nation-ulsoor-bangalore 
Shawarma Time,3.4,150,Fast Food,Vasanth Nagar,612,https://www.zomato.com//bangalore/cupcake-bliss-cakes-desserts-vasanth-nagar-bangalore 
New Shanthi Sagar,4.4,150,South Indian,Building 105,785,https://www.zomato.com//bangalore/xo-belgian-waffle-koramangala-5th-block 
Antarastriya,4.1,150,Fast Food,Cunningham Road,657,https://www.zomato.com//bangalore/home-plate-by-eatfit-cunningham-road-bangalore 
LeanCrust Pizza - ThinCrust Experts,4.0,400,Fast Food,BTM,703,https://www.zomato.com//bangalore/fb-cakes-1-btm-bangalore 
The Good Bowl,3.6,400,North Indian,Richmond Road,626,https://www.zomato.com//bangalore/umpire-chicken-county-richmond-road-bangalore 
Kailash Parbat,4.1,400,North Indian,Basavanagudi,5068,https://www.zomato.com//bangalore/vidyarthi-bhavan-basavanagudi 
Al Zara Mandi Arabian Restaurant,4.2,400,North Indian,Basavanagudi,22,https://www.zomato.com//bangalore/friendly-neighbourhood-pizza-man-basavanagudi-bangalore 
Bowl Soul,3.9,400,Fast Food,Shanti Nagar,21,https://www.zomato.com//bangalore/swiss-cream-shanti-nagar-bangalore 
Rotti Walla,4.0,400,North Indian,Cunningham Road,963,https://www.zomato.com//bangalore/aligarh-house-mughlai-biryani-cunningham-road-bangalore 
Louis Burger,3.5,400,Fast Food,RT Nagar,37,https://www.zomato.com//bangalore/shawarma-time-1-rt-nagar-bangalore 
Dum Safar Biryani,3.5,400,Biryani,Basavanagudi,74,https://www.zomato.com//bangalore/new-shanthi-sagar-basavanagudi 
Raidan Restaurant,3.6,400,North Indian,Malleshwaram,415,https://www.zomato.com//antarastriya 
Lulu Hypermarket,4.3,400,Arabian,Langford Town,638,https://www.zomato.com//bangalore/leancrust-pizza-thincrust-experts-langford-town-bangalore 
Shyamji's Chole Bhature,4.2,400,North Indian,Shanti Nagar,968,https://www.zomato.com//bangalore/the-good-bowl-shanti-nagar-bangalore 
Hotel Fanoos,3.9,400,Fast Food,Sadashiv Nagar,62,https://www.zomato.com//bangalore/kailash-parbat-sadashiv-nagar-bangalore 
Lo! - Low Carb And Keto Foods,4.2,150,Mexican,Frazer Town,86,https://www.zomato.com//bangalore/al-zara-mandi-arabian-restaurant-frazer-town-bangalore 
Indiana Burgers,4.0,150,Fast Food,Richmond Town,765,https://www.zomato.com//bangalore/bowl-soul-richmond-town-bangalore 
Biryani Blues,3.8,150,Biryani,Indiranagar,882,https://www.zomato.com//bangalore/rotti-walla-indiranagar-bangalore 
Art of Delight,4.2,150,Desserts,Koramangala,865,https://www.zomato.com//bangalore/louis-burger-koramangala-7th-block-bangalore 
