Restaurant_Name,Rating,Price_For_One,Cuisine,Location,Delivery_Review_Number,Link
Davanagere Benne Dose Manne,4.3,100,South Indian,Ulsoor,17,https://www.zomato.com//bangalore/sendhoor-nataraaj-restaurant-ulsoor-bangalore 
Thalassery Cafe,4.1,100,Street Food,Shanti Nagar,793,https://www.zomato.com//bangalore/the-bakers-dozen-shanti-nagar-bangalore 
Deli2Go,3.8,100,Beverages,Rajajinagar,110,https://www.zomato.com//bangalore/kudla-beach-rajajinagar 
King Chaat Wale,3.7,100,Street Food,Koramangala,3,https://www.zomato.com//bangalore/dhanraj-ji-chole-bhature-koramangala-7th-block-bangalore 
New Samrat Restaurant,3.8,100,North Indian,Indiranagar,526,https://www.zomato.com//bangalore/veg-brooo-chinese-indiranagar-bangalore 
Hotel Annapoorna,4.4,100,Biryani,Malleshwaram,7,https://www.zomato.com//bangalore/malleshwaram-dosa-corner-malleshwaram-bangalore 
Raffaele's Ristorante Pizzeria,4.3,100,Fast Food,Malleshwaram,711,https://www.zomato.com//bangalore/chapathi-mane-malleshwaram-bangalore 
Chai Galli,3.6,100,Andhra,Koramangala,523,https://www.zomato.com//bangalore/uday-sweets-koramangala-5th-block 
Madras Meal Company,4.2,100,South Indian,Indiranagar,534,https://www.zomato.com//bangalore/the-momos-and-chaap-indiranagar-bangalore 
Waffle Magic,3.8,200,Mexican,Basavanagudi,2,https://www.zomato.com//bangalore/davanagere-benne-dose-manne-basavanagudi-bangalore 
Fruitbae,3.9,200,Desserts,BTM,19,https://www.zomato.com//bangalore/thalassery-cafe-btm 
Cake Pastries,3.4,200,Desserts,Vasanth Nagar,620,https://www.zomato.com//bangalore/deli2go-vasanth-nagar-bangalore 
Boba Tree,3.9,200,Andhra,RT Nagar,908,https://www.zomato.com//bangalore/king-chaat-wale-rt-nagar-bangalore 
Magic Fill,4.1,200,North Indian,Seshadripuram,85,https://www.zomato.com//bangalore/new-samrat-restaurant-seshadripuram 
Muna Momos Corner,4.1,200,Chinese,Majestic,285,https://www.zomato.com//bangalore/hotel-annapoorna-majestic 
Roll Master,4.0,200,Fast Food,Koramangala,207,https://www.zomato.com//bangalore/raffaeles-ristorante-pizzeria-koramangala-6th-block-bangalore 
