restaurant_name,ratings,price_for_one,cuisine,links,location,delivery_review_no,timings
Burnout Cafe,2.9,500,Beverages,www.zomato.com/bangalore/burnout-cafe-infantry-road-bangalore/order,Infantry Road,303.0,11am – 1am 
Burnout Cafe,2.9,500,Continental,www.zomato.com/bangalore/burnout-cafe-infantry-road-bangalore/order,Infantry Road,303.0,11am – 1am 
Burnout Cafe,2.9,500,Italian,www.zomato.com/bangalore/burnout-cafe-infantry-road-bangalore/order,Infantry Road,303.0,11am – 1am 
Burnout Cafe,2.9,500,Chinese,www.zomato.com/bangalore/burnout-cafe-infantry-road-bangalore/order,Infantry Road,303.0,11am – 1am 
Burnout Cafe,2.9,500,Fast Food,www.zomato.com/bangalore/burnout-cafe-infantry-road-bangalore/order,Infantry Road,303.0,11am – 1am 
Burnout Cafe,2.9,500,Asian,www.zomato.com/bangalore/burnout-cafe-infantry-road-bangalore/order,Infantry Road,303.0,11am – 1am 
Burnout Cafe,2.9,500,Desserts,www.zomato.com/bangalore/burnout-cafe-infantry-road-bangalore/order,Infantry Road,303.0,11am – 1am 
Mushroom Donne Biryani Adda,4.1,500,Biryani,www.zomato.com/bangalore/mushroom-donne-biryani-adda-1-basavanagudi-bangalore/order,Basavanagudi,0.0,Timings Not Available
Mushroom Donne Biryani Adda,4.1,500,South Indian,www.zomato.com/bangalore/mushroom-donne-biryani-adda-1-basavanagudi-bangalore/order,Basavanagudi,0.0,Timings Not Available
ATH - All Things Healthy!,4.0,500,Healthy Food,www.zomato.com/bangalore/ath-all-things-healthy-indiranagar-bangalore/order,Indiranagar,0.0,Timings Not Available
ATH - All Things Healthy!,4.0,500,North Indian,www.zomato.com/bangalore/ath-all-things-healthy-indiranagar-bangalore/order,Indiranagar,0.0,Timings Not Available
ATH - All Things Healthy!,4.0,500,Sandwich,www.zomato.com/bangalore/ath-all-things-healthy-indiranagar-bangalore/order,Indiranagar,0.0,Timings Not Available
ATH - All Things Healthy!,4.0,500,Rolls,www.zomato.com/bangalore/ath-all-things-healthy-indiranagar-bangalore/order,Indiranagar,0.0,Timings Not Available
Rolls Kitchen,4.2,500,Rolls,www.zomato.com/bangalore/rolls-kitchen-langford-town-bangalore/order,Langford Town,6.0,Opens  at 9:30am
Rolls Kitchen,4.2,500,Burger,www.zomato.com/bangalore/rolls-kitchen-langford-town-bangalore/order,Langford Town,6.0,Opens  at 9:30am
Rolls Kitchen,4.2,500,Sandwich,www.zomato.com/bangalore/rolls-kitchen-langford-town-bangalore/order,Langford Town,6.0,Opens  at 9:30am
Kerala Pavilion,4.0,500,Kerala,www.zomato.com/bangalore/kerala-pavilion-domlur/order,Domlur,251.0,7:30am – 10:30pm 
Kerala Pavilion,4.0,500,South Indian,www.zomato.com/bangalore/kerala-pavilion-domlur/order,Domlur,251.0,7:30am – 10:30pm 
Kerala Pavilion,4.0,500,Chinese,www.zomato.com/bangalore/kerala-pavilion-domlur/order,Domlur,251.0,7:30am – 10:30pm 
Captain Olive,4.1,500,Burger,www.zomato.com/bangalore/captain-olive-btm-bangalore/order,BTM,0.0,Timings Not Available
Captain Olive,4.1,500,Sandwich,www.zomato.com/bangalore/captain-olive-btm-bangalore/order,BTM,0.0,Timings Not Available
Captain Olive,4.1,500,Wraps,www.zomato.com/bangalore/captain-olive-btm-bangalore/order,BTM,0.0,Timings Not Available
